Bits Occupancy
1 1.0
2 1.0
3 0.875
4 0.875
5 0.8125
6 0.78125
7 0.6484375
8 0.50390625
9 0.365234375
10 0.26171875
11 0.171875
12 0.109130859375
13 0.0645751953125
14 0.03643798828125
15 0.0201416015625
16 0.01080322265625
17 0.0059661865234375
18 0.0032196044921875
19 0.0017108917236328125
20 0.0008907318115234375
21 0.00046062469482421875
22 0.0002396106719970703
23 0.00012481212615966797
24 6.258487701416016e-05
25 3.129243850708008e-05
26 1.564621925354004e-05
27 7.82310962677002e-06
28 3.91155481338501e-06
29 1.955777406692505e-06
30 9.778887033462524e-07
31 4.889443516731262e-07
32 2.444721758365631e-07
